ward_id,popcut,this_status,that_status,this_boundary,Period,lines,formmin,breakmin,mean_intensity,phi_median,phi_best,phi_lo,phi_hi
2,10,ALL,ALL,8,Night,14,22105.666666666668,2767.1666666666665,0.12517906419168537,-0.5980120344497513,-0.5817213634243914,-1.035196300741853,-0.24694770066859253
2,20,ALL,ALL,8,Night,14,22105.666666666668,2767.1666666666665,0.12517906419168537,-0.6026511562589907,-0.5818182636275994,-1.0526078294708274,-0.2533847592260714
2,0,ALL,ALL,-1,All,239,96056,20923,0.21782085450154076,-0.06582853523961424,-0.06668427499507472,-0.2423438719951918,0.08836748904075564
2,10,ALL,ALL,-1,All,233,95932,20900.5,0.2178678647375224,-0.10240294372644662,-0.09979999922697892,-0.29590426745263537,0.06013855043014989
2,20,ALL,ALL,-1,All,225,95643,20873.166666666668,0.21824040093542307,-0.16274303026059186,-0.15855877232502913,-0.37223040211370084,0.018133404071607295
2,10,ALL,ALL,4,Day,132,49873.5,10766.666666666666,0.21587950848981255,0.5322214443167992,0.5509955824550634,0.1456016999992023,0.855432348497706
2,10,ALL,ALL,6,Day,162,63644.833333333336,14751.5,0.23177843710801346,0.6227522780075405,0.6297409670060254,0.27998380733745665,0.9261117487700369
2,10,ALL,ALL,10,Day,161,86632,18931.166666666668,0.21852394804075478,-0.23962710487462086,-0.23102340797464876,-0.47021447804555216,-0.04635406966291028
2,10,ALL,ALL,4,Night,101,46058.5,10133.833333333334,0.22002091543001473,-0.18646534014956878,-0.180529756236604,-0.4087998272499946,0.002968803238187217
2,10,ALL,ALL,6,Night,71,32287.166666666668,6149,0.19044718489802448,-0.22586243410574086,-0.2213902054319677,-0.4447919969311082,-0.01463952502896779
2,10,ALL,ALL,10,Night,72,9300,1969.3333333333333,0.2117562724014337,0.7731263345220158,0.7865766069670975,0.20642795297889338,1.1936996743432107
5,0,ALL,ALL,8,Day,170,66024.83333333333,15224,0.23057990806489478,-0.4028116524458837,-0.3914753721964236,-0.6661986770832832,-0.1770938128724085
5,10,ALL,ALL,8,Day,170,66024.83333333333,15224,0.23057990806489478,-0.3988943153730108,-0.39143365148516657,-0.661394297345762,-0.18446555734848027
5,20,ALL,ALL,8,Day,170,66024.83333333333,15224,0.23057990806489478,-0.39058732500320537,-0.3914649804266613,-0.6582508593580031,-0.1840473644633751
5,0,ALL,ALL,8,Night,31,20529,2408.6666666666665,0.11732995599720719,-0.7991790025605139,-0.771739904174943,-1.4368774659121089,-0.33458849760222303
5,10,ALL,ALL,8,Night,28,20443,2373,0.1160788533972509,-0.7592973411444299,-0.7312551548900806,-1.7226800414832155,0.10588779282094912
5,20,ALL,ALL,8,Night,23,20303,2340.1666666666665,0.11526211233151093,-0.4362008784185607,-0.4002563291780362,-1.669372368679886,0.76697951694384
5,0,ALL,ALL,-1,All,201,86553.83333333333,17632.666666666668,0.2037190727158243,-0.37865838676783903,-0.3648720024673368,-0.5932004475029136,-0.18626002889983578
5,10,ALL,ALL,-1,All,198,86467.83333333333,17597,0.20350920477171666,-0.3695719072504272,-0.3581793099034615,-0.5881990061791648,-0.16263169171048078
5,20,ALL,ALL,-1,All,193,86327.83333333333,17564.166666666668,0.20345890761380553,-0.3853898021599779,-0.37101798430884203,-0.6284969363309433,-0.18256976965944235
5,10,ALL,ALL,4,Day,118,51781.666666666664,11954.833333333334,0.2308699990344073,-0.0844472880404199,-0.08859039906289182,-0.51441089401315,0.3139597584849739
5,10,ALL,ALL,6,Day,137,62318.833333333336,14199.5,0.22785246835493816,-0.10321753547364684,-0.07876400132879988,-0.578305900551697,0.31786252906834744
5,10,ALL,ALL,10,Day,119,72978.83333333333,13161.666666666666,0.18034909665587967,-0.5168049922136473,-0.50515325905945,-0.8066251487670659,-0.28751691341961694
5,10,ALL,ALL,4,Night,80,34686.166666666664,5642.166666666667,0.16266330958066857,-0.6017902155263672,-0.5844509047434133,-0.9033802966903711,-0.33870799548475916
5,10,ALL,ALL,6,Night,61,24149,3397.5,0.14068905544743054,-0.6494331265328004,-0.6418852111941629,-0.9560648437675747,-0.3880093416386043
5,10,ALL,ALL,10,Night,79,13489,4435.333333333333,0.3288111300565893,0.45035326570076656,0.46625927328714933,-0.04366569140626318,0.9030716010384933
6,0,ALL,ALL,8,Day,155,60471,19644,0.32484992806469215,-0.03849359174460506,-0.02897915117143568,-0.6056499976735875,0.4475542225392784
